time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-10T15:59:37.053Z,60.079,-141.301,17.5,1.5,ml,,,,0.73,ak,ak19753829,2018-06-10T16:03:04.774Z,"62km E of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-06-10T15:58:11.920Z,19.4106674,-155.2740021,0.68,1.91,md,18,54,0.0118,0.18,hv,hv70258132,2018-06-10T16:01:15.190Z,"4km WSW of Volcano, Hawaii",earthquake,0.23,0.31,0.19,14,automatic,hv,hv
2018-06-10T15:50:29.230Z,51.4593,-173.8945,38.19,4,mb,,164,0.766,1,us,us1000emrr,2018-06-10T19:05:20.040Z,"84km SSE of Atka, Alaska",earthquake,5.9,7.8,0.06,76,reviewed,us,us
2018-06-10T15:44:18.480Z,36.4172,29.1268,10,4.3,mb,,107,0.71,1.13,us,us1000emrl,2018-06-10T16:34:44.040Z,"16km S of OEluedeniz, Turkey",earthquake,6.4,1.9,0.177,9,reviewed,us,us
2018-06-10T15:28:46.838Z,61.074,-151.6349,72.7,1.1,ml,,,,0.32,ak,ak19753817,2018-06-10T15:33:31.003Z,"46km NNW of Nikiski, Alaska",earthquake,,1.6,,,automatic,ak,ak
2018-06-10T15:06:53.720Z,38.456,-118.7495,1.9,1.8,ml,12,143.53,1.306,0.19,nn,nn00639016,2018-06-10T15:10:28.389Z,"13km SW of Hawthorne, Nevada",earthquake,,14.4,,,automatic,nn,nn
2018-06-10T15:05:33.480Z,19.4195004,-155.2848358,0.09,2.12,ml,12,57,0.001957,0.11,hv,hv70257947,2018-06-10T15:11:15.370Z,"5km WSW of Volcano, Hawaii",earthquake,0.26,0.18,0.44,11,automatic,hv,hv
2018-06-10T15:04:38.020Z,19.4021664,-155.2568359,0.39,2.15,ml,17,115,0.009518,0.18,hv,hv70257942,2018-06-10T15:10:21.360Z,"3km SSW of Volcano, Hawaii",earthquake,0.25,0.34,0.38,11,automatic,hv,hv
2018-06-10T15:03:41.880Z,19.4046669,-155.2833405,-0.17,1.75,ml,16,63,0.01295,0.24,hv,hv70257937,2018-06-10T15:09:19.130Z,"5km WSW of Volcano, Hawaii",earthquake,0.24,0.29,0.27,8,automatic,hv,hv
2018-06-10T14:58:58.160Z,19.4090004,-155.2773285,0.47,1.84,ml,18,61,0.01073,0.1,hv,hv70257922,2018-06-10T15:04:41.890Z,"4km WSW of Volcano, Hawaii",earthquake,0.16,0.18,0.23,8,automatic,hv,hv
2018-06-10T14:58:14.870Z,-5.9857,146.7101,39.3,4.7,mb,,56,3.97,0.7,us,us1000emr1,2018-06-10T18:30:26.040Z,"86km NNW of Lae, Papua New Guinea",earthquake,8.8,8.1,0.061,80,reviewed,us,us
2018-06-10T14:55:19.480Z,27.2504,143.3736,10,5,mb,,69,1.07,0.57,us,us1000emqz,2018-06-10T15:39:16.040Z,"116km E of Chichi-shima, Japan",earthquake,9,1.8,0.034,281,reviewed,us,us
2018-06-10T14:42:48.170Z,19.4020004,-155.2579956,-0.05,2.07,ml,17,111,0.008457,0.15,hv,hv70257877,2018-06-10T14:48:29.550Z,"3km SSW of Volcano, Hawaii",earthquake,0.21,0.28,0.37,10,automatic,hv,hv
2018-06-10T14:39:08.131Z,58.7576,-153.6037,2.6,1.9,ml,,,,0.73,ak,ak19753080,2018-06-10T14:52:43.176Z,"125km NNW of Kodiak Station, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-06-10T14:37:11.840Z,19.4523335,-155.2753296,4.78,1.79,ml,10,298,0.02614,0.25,hv,hv70257862,2018-06-10T14:42:52.230Z,"4km WNW of Volcano, Hawaii",earthquake,1.83,1.08,0.25,7,automatic,hv,hv
2018-06-10T14:34:44.640Z,19.4309998,-155.281662,0.34,1.95,ml,6,244,0.007305,0.13,hv,hv70257857,2018-06-10T14:40:26.120Z,"4km W of Volcano, Hawaii",earthquake,0.85,0.5,0.35,11,automatic,hv,hv
2018-06-10T14:13:12.510Z,33.6766667,-116.7483333,17.08,0.8,ml,26,96,0.04813,0.17,ci,ci38195096,2018-06-10T14:53:24.630Z,"8km SSW of Idyllwild, CA",earthquake,0.37,0.53,0.159,25,reviewed,ci,ci
2018-06-10T14:01:42.210Z,19.4448338,-155.2406616,2.63,1.87,ml,14,295,0.02892,0.21,hv,hv70257747,2018-06-10T14:07:23.090Z,"1km N of Volcano, Hawaii",earthquake,1,0.61,0.22,6,automatic,hv,hv
2018-06-10T13:59:59.010Z,19.4056664,-155.2833405,0.3,2.13,ml,9,122,0.01374,0.17,hv,hv70257732,2018-06-10T14:05:48.670Z,"5km WSW of Volcano, Hawaii",earthquake,0.41,0.5,0.35,6,automatic,hv,hv
2018-06-10T13:59:58.030Z,19.4136658,-155.2788391,0.35,1.79,ml,15,60,0.006358,0.15,hv,hv70257727,2018-06-10T14:05:42.700Z,"4km WSW of Volcano, Hawaii",earthquake,0.23,0.3,0.34,8,automatic,hv,hv
2018-06-10T13:56:05.430Z,19.3963337,-155.2969971,-1.14,1.91,ml,9,279,0.02446,0.31,hv,hv70257717,2018-06-10T14:01:49.060Z,"7km WSW of Volcano, Hawaii",earthquake,1.23,0.5,0.33,6,automatic,hv,hv
2018-06-10T13:51:05.874Z,63.4865,-151.2122,2.6,1.2,ml,,,,0.59,ak,ak19753077,2018-06-10T13:58:16.716Z,"113km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-06-10T13:50:13.710Z,34.2321667,-117.4903333,9.22,0.93,ml,17,66,0.02613,0.18,ci,ci38195088,2018-06-10T13:53:48.312Z,"3km SSE of Lytle Creek, CA",earthquake,0.41,0.95,0.253,18,automatic,ci,ci
2018-06-10T13:46:15.300Z,38.8221664,-122.8128357,2.96,0.66,md,19,66,0.002482,0.02,nc,nc73028366,2018-06-10T13:47:53.785Z,"7km NW of The Geysers, CA",earthquake,0.25,0.64,0.28,3,automatic,nc,nc
2018-06-10T13:41:56.557Z,62.1256,-148.0429,21.3,2.1,ml,,,,0.6,ak,ak19753070,2018-06-10T13:50:05.035Z,"56km NE of Sutton-Alpine, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-06-10T13:40:57.040Z,37.6561661,-118.8368301,0.98,1.13,md,10,137,0.01819,0.04,nc,nc73028361,2018-06-10T16:01:01.695Z,"13km E of Mammoth Lakes, CA",earthquake,0.45,0.66,0.23,9,automatic,nc,nc
2018-06-10T13:40:33.210Z,37.6573334,-118.8391647,1.05,1.41,md,10,130,0.01952,0.05,nc,nc73028356,2018-06-10T15:33:01.544Z,"12km E of Mammoth Lakes, CA",earthquake,0.39,0.98,0.24,9,automatic,nc,nc
2018-06-10T13:25:42.630Z,19.4086666,-155.286499,1.33,1.92,md,17,95,0.009231,0.21,hv,hv70257632,2018-06-10T13:28:59.100Z,"5km WSW of Volcano, Hawaii",earthquake,0.34,0.45,0.21,13,automatic,hv,hv
2018-06-10T13:20:44.580Z,65.8187,-149.8165,5,0.8,ml,,,,0.84,ak,ak19753054,2018-06-10T13:28:10.820Z,"98km NNE of Manley Hot Springs, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-06-10T13:11:11.030Z,19.4190006,-155.2785034,1.07,1.93,md,15,89,0.005445,0.18,hv,hv70257592,2018-06-10T13:14:13.100Z,"4km WSW of Volcano, Hawaii",earthquake,0.36,0.28,0.09,10,automatic,hv,hv
2018-06-10T13:09:18.880Z,35.6756668,-121.2549973,5.18,1.76,md,16,213,0.03587,0.04,nc,nc73028331,2018-06-10T15:04:01.381Z,"7km WNW of San Simeon, CA",earthquake,0.7,1.15,0.19,11,automatic,nc,nc
2018-06-10T13:07:29.060Z,19.4165001,-155.2944946,7.71,1.72,ml,9,83,0.005448,0.25,hv,hv70257577,2018-06-10T13:13:10.800Z,"6km WSW of Volcano, Hawaii",earthquake,2.13,2.32,0.39,3,automatic,hv,hv
2018-06-10T13:07:16.176Z,60.2561,-151.0303,52.5,1.3,ml,,,,0.3,ak,ak19752344,2018-06-10T13:13:33.714Z,"19km SE of Cohoe, Alaska",earthquake,,1.4,,,automatic,ak,ak
2018-06-10T13:06:49.130Z,33.4938333,-116.4591667,6.35,0.49,ml,16,104,0.08737,0.28,ci,ci38195064,2018-06-10T13:10:31.717Z,"21km ESE of Anza, CA",earthquake,0.57,1.96,0.175,10,automatic,ci,ci
2018-06-10T13:04:04.240Z,38.8193321,-122.7624969,1.63,1.79,md,24,55,0.01254,0.05,nc,nc73028326,2018-06-10T14:38:01.133Z,"3km W of Cobb, CA",earthquake,0.22,0.37,0.07,8,automatic,nc,nc
2018-06-10T12:55:44.550Z,33.66,-116.3925,13.04,0.81,ml,14,265,0.1701,0.23,ci,ci38195056,2018-06-10T12:59:24.795Z,"7km SSW of Palm Desert, CA",earthquake,2.19,1.21,0.164,10,automatic,ci,ci
2018-06-10T12:47:58.010Z,33.3043333,-116.7485,-0.12,0.71,ml,14,109,0.06871,0.27,ci,ci38195048,2018-06-10T12:51:50.893Z,"7km N of Lake Henshaw, CA",earthquake,0.51,31.61,0.381,14,automatic,ci,ci
